"stock","genotype","sex","age","plate","well","ws","fw","trichomes","area","iod","cell.area","cell.number"
"28196","DGRP-426","female",5,"28196","C9",1112101.162,1.5,40,7797.494,490.969333333333,194.93735,5704.91576909197
"28198","DGRP-441","male",5,"28198","C9",784090.206333333,0.79,56,7842.857,444.077333333333,140.051017857143,5598.60412534191
"25198","DGRP-555","female",5,"25198","D1",1009317.03666667,1.12,55,7841.756,448.578333333333,142.577381818182,7079.08241682943
"28196","DGRP-426","female",5,"28196","D1",1118780.37033333,1.34,41,7983.457,469.856,194.718463414634,5745.63064392614
"28198","DGRP-441","female",5,"28198","D1",1104453.28833333,1.48,43,7895.23,517.700666666667,183.61,6015.21316014015
"25203","DGRP-732","female",5,"25203","D10",1139344.472,1.36,43,7960.725,487.658333333333,185.133139534884,6154.18976236461
"28198","DGRP-441","female",5,"28198","D10",1050618.69533333,1.32,44,7895.23,486.542,179.437045454545,5855.08244784087
"25203","DGRP-732","female",5,"25203","D11",1163938.16766667,1.32,43,7960.725,484.028,185.133139534884,6287.03305410835
"28198","DGRP-441","female",5,"28198","D11",1098737.00833333,1.42,44,7823.07,525.343333333333,177.797045454545,6179.72590896754
"25190","DGRP-380","female",5,"25190","D2",1006285.64966667,0.73,49,7894.909,470.245666666667,161.120591836735,6245.54340444794
"25203","DGRP-732","female",5,"25203","D2",1213787.998,1.26,44,7874.172,515.191,178.958454545455,6782.51274064117
"28198","DGRP-441","female",5,"28198","D2",1090962.336,1.39,44,7849.895,498.510333333333,178.406704545455,6115.02991874414
"25190","DGRP-380","female",5,"25190","D3",1016701.422,0.85,49,7889.68,458.009333333333,161.01387755102,6314.37139123513
"25203","DGRP-732","female",5,"25203","D3",1139269.46766667,1.14,43,7884.136,489.619,183.352,6213.56444252949
"28198","DGRP-441","female",5,"28198","D3",1091874.091,1.32,43,7868.25,497.526,182.982558139535,5967.09381539732
"28198","DGRP-441","female",5,"28198","D4",1057025.13133333,1.55,44,7868.25,493.935333333333,178.823863636364,5910.98475247567
"25190","DGRP-380","female",5,"25190","D5",953175.447333333,0.66,51,7868.645,441.319333333333,154.287156862745,6177.93124661235
"25203","DGRP-732","female",5,"25203","D5",1152992.302,1.28,44,8068.26,475.011,183.369545454545,6287.80694821436
"25190","DGRP-380","female",5,"25190","D6",1014684.38933333,1,48,7841.756,470.212666666667,163.369916666667,6210.9622752863
"25203","DGRP-732","female",5,"25203","D6",1151851.63266667,1.52,44,7907.129,494.986666666667,179.707477272727,6409.59213354599
"25190","DGRP-380","female",5,"25190","D7",1002789.02266667,1.05,51,7841.756,459.324666666667,153.759921568627,6521.78417130041
"28198","DGRP-441","female",5,"28198","D7",1072129.46666667,1.18,44,7842.012,549.178666666667,178.227545454545,6015.50935312689
"25190","DGRP-380","female",5,"25190","D8",953888.795,1,50,7874.172,569.308333333333,157.48344,6057.07365168046
"25203","DGRP-732","female",5,"25203","D8",1192658.91366667,1.49,44,7934.242,485.378333333333,180.323681818182,6613.98936424341
"28198","DGRP-441","female",5,"28198","D8",1056171.94633333,1.33,45,7895.23,487.882333333333,175.449555555556,6019.80405700657
"25190","DGRP-380","female",5,"25190","D9",954436.318333333,0.84,51,7841.756,379.577,153.759921568627,6207.31533026531
