stock,genotype,sex,age,plate,well,ws,fw,trichomes,area,cell.area,cell.number
28248,DGRP-849,female,5,28248,B8,1053158.699,1.3,51,7907.46,155.0482353,6792.458469
28258,DGRP-892,female,5,28258,B8,1064867.205,1.25,48,7857.607,163.7001458,6504.986294
25180,DGRP-313,female,5,25180,B9,869617.5767,1.1,52,7891.961,151.7684808,5729.895775
25190,DGRP-380,male,5,25190,B9,782900.1937,0.51,57,7814.3,137.0929825,5710.724062
28191,DGRP-385,female,5,28191,B9,1166146.167,1.31,52,7856.091,151.0786731,7718.800694
28197,DGRP-440,female,5,28197,B9,1181258.913,1.31,47,7907.118,168.2365532,7021.416513
28247,DGRP-843,female,5,28247,B9,1064075.327,1.46,50,7869.75,157.395,6760.540847
28248,DGRP-849,female,5,28248,B9,1101446.02,1.19,51,7907.46,155.0482353,7103.892656
28258,DGRP-892,female,5,28258,B9,1082924.447,1.23,47,7857.607,167.1831277,6477.474505
25203,DGRP-732,male,5,25203,C1,907880.9087,0.8,49,7907.129,161.3699796,5626.083061
28198,DGRP-441,male,5,28198,C1,844988.3637,0.83,55,7842.857,142.5974,5925.69264
25192,DGRP-399,female,5,25192,C10,1162596.529,0.85,48,7954.327,165.7151458,7015.632296
25198,DGRP-555,female,5,25198,C10,1037014.654,0.99,53,7853.883,148.1864717,6998.038636
25201,DGRP-712,female,5,25201,C10,1080374.283,1.12,44,7845.061,178.2968409,6059.413488
25203,DGRP-732,male,5,25203,C10,895714.18,0.85,50,7887.462,157.74924,5678.088719
28135,DGRP-88,female,5,28135,C10,908858.8727,0.98,46,7856.091,170.784587,5321.668008
28173,DGRP-338,female,5,28173,C10,1124545.347,1.31,43,7871.572,183.059814,6143.048672
28180,DGRP-361,female,5,28180,C10,1054617.736,1.02,43,7858.914,182.7654419,5770.33451
28196,DGRP-426,female,5,28196,C10,1081132.167,1.33,42,7823.531,186.2745476,5803.97151
28198,DGRP-441,male,5,28198,C10,829119.4093,0.86,58,7869.75,135.6853448,6110.603989
29652,DGRP-57,female,5,29652,C10,984718.6417,0.83,52,7841.756,150.803,6529.834563
25192,DGRP-399,female,5,25192,C11,1074324.965,0.77,51,7847.265,153.8679412,6982.123478
25198,DGRP-555,female,5,25198,C11,1072036.351,0.98,52,7853.883,151.0362115,7097.876331
25201,DGRP-712,female,5,25201,C11,1103693.399,1.01,43,7853.883,182.6484419,6042.720037
25203,DGRP-732,male,5,25203,C11,857336.1407,0.7,50,7987.952,159.75904,5366.432727
28135,DGRP-88,female,5,28135,C11,1029357.304,1.22,45,7856.091,174.5798,5896.199352
28173,DGRP-338,female,5,28173,C11,1106709.109,1.24,46,7845.322,170.5504783,6489.041371
28180,DGRP-361,female,5,28180,C11,1105969.458,1.08,42,7885.861,187.7585952,5890.379914
28196,DGRP-426,female,5,28196,C11,1119323.135,1.38,40,7900.455,197.511375,5667.132515
28198,DGRP-441,male,5,28198,C11,814363.317,0.71,54,7860.509,145.5649815,5594.500193
25198,DGRP-555,female,5,25198,C12,984109.6777,1.02,55,7853.883,142.7978727,6891.627017
25201,DGRP-712,female,5,25201,C12,1105600.088,1.17,44,7853.883,178.4973409,6193.930296
25203,DGRP-732,male,5,25203,C12,890038.3197,0.76,48,8015.008,166.9793333,5330.230406
28173,DGRP-338,female,5,28173,C12,1132922.399,1.37,44,7874.172,178.9584545,6330.644742
28180,DGRP-361,female,5,28180,C12,1035321.744,1.07,41,7858.914,191.6808293,5401.279554
28196,DGRP-426,female,5,28196,C12,1058139.221,1.42,40,7956.508,198.9127,5319.616197
28198,DGRP-441,male,5,28198,C12,875603.2013,0.83,55,7842.857,142.5974,6140.386861
29652,DGRP-57,female,5,29652,C12,991256.301,0.77,51,7827.461,153.4796275,6458.552952
25192,DGRP-399,female,5,25192,C2,1196312.219,0.63,48,7981.575,166.2828125,7194.443018
25198,DGRP-555,female,5,25198,C2,1012146.196,1.06,54,7853.883,145.4422778,6959.092027
25201,DGRP-712,female,5,25201,C2,1136233.259,1.11,43,7853.883,182.6484419,6220.875728
25203,DGRP-732,male,5,25203,C2,907428.7223,0.84,49,7860.509,160.418551,5656.632083
28135,DGRP-88,female,5,28135,C2,982180.1347,1.04,48,7856.091,163.6685625,6001.031106
28180,DGRP-361,female,5,28180,C2,1058736.332,1.27,42,7806.555,185.8703571,5696.101026
28196,DGRP-426,female,5,28196,C2,1153806.518,1.48,40,7956.508,198.9127,5800.567373
28198,DGRP-441,male,5,28198,C2,788815.5187,0.87,56,7869.75,140.53125,5613.096864
29652,DGRP-57,female,5,29652,C2,912621.338,0.79,50,7835.461,156.70922,5823.660778
25190,DGRP-380,female,5,25190,C3,1032187.649,0.9,48,7894.909,164.4772708,6275.564059
25198,DGRP-555,female,5,25198,C3,1069750.869,0.97,51,7841.756,153.7599216,6957.280274
25201,DGRP-712,female,5,25201,C3,1134423.429,1.07,41,7853.883,191.558122,5922.084732
28135,DGRP-88,female,5,28135,C3,971951.485,1.07,48,7823.07,162.980625,5963.60141
28173,DGRP-338,female,5,28173,C3,1067476.491,1.29,45,7871.572,174.9238222,6102.522099
28180,DGRP-361,female,5,28180,C3,1100742.265,1.18,41,7885.861,192.3380732,5722.955663
28196,DGRP-426,female,5,28196,C3,1112587.175,1.36,40,7847.265,196.181625,5671.209907
28198,DGRP-441,male,5,28198,C3,813521.9133,0.8,56,7869.75,140.53125,5788.903986
29652,DGRP-57,female,5,29652,C3,963060.2823,1,50,7841.756,156.83512,6140.590719
25190,DGRP-380,female,5,25190,C4,1001750.658,0.82,50,7862.72,157.2544,6370.255192
25198,DGRP-555,female,5,25198,C4,1069840.684,1.17,53,7853.883,148.1864717,7219.557033
25201,DGRP-712,female,5,25201,C4,1115281.21,1.16,44,7853.883,178.4973409,6248.167086
25203,DGRP-732,male,5,25203,C4,881032.1283,0.62,48,8068.26,168.08875,5241.469928
28135,DGRP-88,female,5,28135,C4,1018628.684,1.29,48,7823.07,162.980625,6249.998634
28180,DGRP-361,female,5,28180,C4,1100423.453,1.08,43,7885.861,183.3921163,6000.385813
28196,DGRP-426,female,5,28196,C4,1136090.889,1.48,40,8089.2,202.23,5617.815797
28198,DGRP-441,male,5,28198,C4,835580.3793,0.81,57,7842.857,137.5939825,6072.797403
29652,DGRP-57,female,5,29652,C4,961994.3793,0.95,51,7854.301,154.005902,6246.477356
25192,DGRP-399,female,5,25192,C5,1245121.216,1.14,46,7730.024,168.044,7409.495225
25201,DGRP-712,female,5,25201,C5,1189594.228,1.17,42,7853.883,186.9972143,6361.561229
25203,DGRP-732,male,5,25203,C5,879883.492,0.86,48,7907.129,164.7318542,5341.307523
28135,DGRP-88,female,5,28135,C5,1034044.757,0.94,46,7856.091,170.784587,6054.672589
28173,DGRP-338,female,5,28173,C5,1103409.715,1.28,45,7898.563,175.5236222,6286.388698
28180,DGRP-361,female,5,28180,C5,1059302.103,1.03,40,7832.706,195.81765,5409.635459
28196,DGRP-426,female,5,28196,C5,1114453.345,1.45,42,7982.887,190.0687381,5863.422653
28198,DGRP-441,male,5,28198,C5,824653.544,0.59,54,7869.75,145.7361111,5658.539519
29652,DGRP-57,female,5,29652,C5,1012472.935,0.97,50,7841.756,156.83512,6455.651863
25190,DGRP-380,female,5,25190,C6,983935.0437,0.63,50,7889.68,157.7936,6235.582708
25192,DGRP-399,female,5,25192,C6,1033174.655,0.74,51,7916.015,155.2159804,6656.367809
25198,DGRP-555,female,5,25198,C6,946510.303,0.87,54,7853.883,145.4422778,6507.807203
25203,DGRP-732,male,5,25203,C6,913973.2093,0.81,49,7934.242,161.9233061,5644.482139
28135,DGRP-88,female,5,28135,C6,1031757.886,1.18,46,7849.895,170.6498913,6046.050651
28173,DGRP-338,female,5,28173,C6,1066827.331,1.14,42,7819.129,186.1697381,5730.401415
28198,DGRP-441,male,5,28198,C6,866636.0373,0.84,53,7869.75,148.4858491,5836.489085
29652,DGRP-57,female,5,29652,C6,999092.7297,0.7,51,7827.461,153.4796275,6509.611381
25192,DGRP-399,female,5,25192,C7,1063121.538,0.82,49,8050.931,164.3047143,6470.426258
